DIEM_QUAN_TRAC,XA,HUYEN,NHIET_DO,PH,DO,DO_MAN,DO_TRONG,DO_KIEM,NO2,NO3,NH4,PO43,COD,VIBRIO_TONG_SO_CFU_ML,VIBRIO_PARAHAEMOLYTICUS_CFU_ML,VIBRIO_LOG,NAM,THANG,NGAY,LABEL_VIBRIO_RISK,LABEL_VIBRIO_LEVEL,LABEL_MOI_TRUONG_TOM,LABEL_TAO_THUC_AN
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,29,7.9,4.5,26,25,131.0,0.264,0.37,0.47,0.2,9.6,0.9,0.9,0.6418538861723948,2022,8,2,0,0,1,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,27,7.8,5.0,27,30,179.0,0.11,0.95,0.08,0.0,18.0,32000.0,9.9,10.373522431293592,2025,7,24,2,2,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,28,7.6,4.0,26,20,121.0,0.01,0.12,0.28,0.16,6.51,0.9,0.9,0.6418538861723948,2022,7,5,0,0,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,7.9,4.0,24,20,104.0,0.044,0.428,0.441,0.0,9.93,61000.0,0.9,11.0186455364637,2024,7,4,2,2,2,1
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,28,7.8,4.0,25,15,109.0,0.01,0.1,0.34,0.14,7.32,0.9,0.9,0.6418538861723948,2022,7,5,0,0,1,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,27,7.9,5.0,17,25,114.0,0.08,0.464,0.443,0.0,9.44,9000.0,0.9,9.105090961257083,2024,8,15,2,2,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,28,7.8,4.0,24,25,112.0,0.095,0.216,0.51,0.07,9.86,0.9,0.9,0.6418538861723948,2022,11,1,0,0,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,29,7.4,4.0,19,15,129.0,0.12,0.54,1.2,0.22,28.0,720.0,9.9,6.580639137284949,2023,10,5,2,2,1,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,28,8.2,4.0,23,25,138.0,0.394,0.13,0.3,0.16,13.7,0.9,0.9,0.6418538861723948,2022,8,23,0,0,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,7.8,4.0,25,25,108.0,0.279,0.24,1.15,0.15,7.14,0.9,0.9,0.6418538861723948,2022,7,19,0,0,1,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,7.8,3.0,23,25,122.0,0.031,0.152,0.767,0.025,10.7,810000.0,0.9,13.60479076121576,2024,7,11,2,2,1,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,7.6,4.0,24,20,145.0,0.88,2.02,1.14,0.2,26.0,9.9,9.9,2.388762789235098,2023,6,29,0,0,1,1
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,28,7.7,3.5,19,15,90.2,0.097,0.176,1.18,0.128,19.0,24000.0,0.9,10.085850775128716,2024,8,1,2,2,1,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,29,7.8,4.0,22,25,135.0,0.172,0.14,0.33,0.18,15.5,0.9,0.9,0.6418538861723948,2022,9,13,0,0,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,28,7.9,4.0,20,20,123.0,0.0,0.79,0.8,0.24,25.0,150.0,9.9,5.017279836814924,2023,7,13,1,1,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,27,7.8,5.0,26,25,118.0,0.0,0.0,0.67,0.06,11.0,520.0,9.9,6.255750041753367,2025,8,21,2,2,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,7.6,3.5,21,15,104.0,0.15,1.16,1.94,0.0,26.0,11000.0,9.9,9.305741456739437,2023,7,27,2,2,1,1
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,28,8.3,4.0,18,20,116.0,0.173,0.389,0.874,0.051,19.0,7000.0,0.9,8.853808274977197,2024,11,6,2,2,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,7.8,4.5,24,25,116.0,0.117,0.17,0.11,0.07,10.5,12.0,0.9,2.5649493574615367,2022,11,1,0,0,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,7.7,5.0,21,25,92.7,0.243,0.39,0.767,0.038,24.6,15000.0,0.9,9.61587214452889,2024,7,18,2,2,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,7.5,5.0,20,15,109.0,0.377,0.497,1.43,0.098,285.0,61000.0,0.9,11.0186455364637,2024,10,17,2,2,1,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,28,7.8,3.0,19,10,122.0,0.03,0.57,1.42,0.08,22.0,80.0,9.9,4.394449154672439,2023,10,26,1,1,1,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,27,8.4,3.5,20,20,112.0,0.1,0.83,0.77,0.0,20.0,140.0,9.9,4.948759890378168,2023,8,3,1,1,1,1
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,29,8.0,5.0,24,20,103.0,0.111,0.245,0.606,0.052,25.3,36000.0,0.9,10.491301994830229,2024,12,6,2,2,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,29,7.9,4.0,19,25,133.0,0.015,0.422,0.431,0.0,10.3,66000.0,0.9,11.097425172408933,2024,8,15,2,2,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,26,7.3,4.0,24,25,115.0,0.0,0.76,0.0,0.1,14.0,1300.0,9.9,7.170888478512505,2025,8,28,2,2,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,28,7.8,5.0,21,15,117.0,0.036,0.11,0.724,0.023,10.6,240000.0,0.9,12.388398368982116,2024,7,11,2,2,1,1
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,29,8.0,3.5,29,15,104.0,0.021,0.326,1.35,0.053,9.6,9200.0,0.9,9.12706745278236,2024,6,27,2,2,1,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,30,8.0,4.0,30,20,125.0,0.0,0.87,0.27,0.0,28.0,180.0,9.9,5.198497031265826,2023,6,8,1,1,2,1
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,27,7.0,5.0,18,25,106.0,0.29,0.39,1.35,0.039,27.8,16000.0,0.9,9.680406499268877,2024,8,29,2,2,1,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,26,7.3,5.0,23,35,122.0,0.09,1.03,0.0,0.09,18.0,1100.0,9.9,7.00397413672268,2025,9,19,2,2,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,8.5,5.0,26,35,125.0,0.03,0.94,0.18,0.07,19.0,1400.0,9.9,7.244941546337007,2025,11,9,2,2,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,26,6.9,5.0,16,20,124.0,0.259,0.399,1.73,0.061,14.8,1800.0,0.9,7.496097345175956,2024,9,26,2,2,1,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,7.7,3.0,24,20,138.0,0.155,0.17,0.29,0.16,13.8,0.9,0.9,0.6418538861723948,2022,9,13,0,0,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,27,7.5,4.0,18,20,122.0,0.11,1.1,0.49,0.0,25.0,660.0,9.9,6.493753839851687,2023,7,27,2,2,2,1
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,8.0,3.0,27,20,104.0,0.013,0.59,0.71,0.027,9.27,4000.0,0.9,8.294299608857235,2024,7,4,2,2,1,1
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,28,7.9,4.0,30,25,115.0,0.0,0.86,0.25,0.0,24.0,90.0,9.9,4.51085950651685,2023,6,8,1,1,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,29,8.0,4.0,25,25,125.0,0.301,0.41,0.13,0.06,8.95,54.0,0.9,4.007333185232471,2022,8,2,1,1,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,30,7.8,4.0,20,20,112.0,0.03,0.57,0.99,0.06,16.0,9.9,9.9,2.388762789235098,2023,11,9,0,0,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,29,8.1,3.5,33,20,127.0,0.019,0.134,0.448,0.262,4.56,180000.0,0.9,12.100717685412471,2024,6,13,2,2,1,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,8.0,4.0,15,20,108.0,0.311,0.646,0.967,0.074,29.6,120000.0,0.9,11.695255355062796,2024,10,24,2,2,1,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,30,8.0,5.0,22,20,92.2,0.098,0.28,0.843,0.122,27.2,8000.0,0.9,8.987321812850125,2024,8,1,2,2,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,28,7.7,4.0,26,20,111.0,0.219,0.14,0.89,0.15,10.3,18.0,0.9,2.9444389791664403,2022,7,19,0,0,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,28,7.8,5.0,27,25,101.0,0.016,0.38,1.31,0.0,9.27,7900.0,0.9,8.974744612722734,2024,6,27,2,2,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,29,8.0,5.0,25,25,120.0,0.231,0.3,0.25,0.09,9.44,54.0,0.9,4.007333185232471,2022,10,18,1,1,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,30,8.4,4.0,21,20,130.0,0.04,0.61,1.55,0.07,25.0,9.9,9.9,2.388762789235098,2023,11,2,0,0,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,8.3,4.0,33,25,124.0,0.016,0.098,0.287,0.14,5.04,130000.0,0.9,11.775297421715829,2024,6,13,2,2,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,29,8.0,3.5,22,20,142.0,0.16,1.07,1.51,0.46,25.0,9.9,9.9,2.388762789235098,2023,7,13,0,0,1,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,7.9,4.0,26,15,127.0,0.333,0.24,0.5,0.16,7.65,0.9,0.9,0.6418538861723948,2022,8,2,0,0,1,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,29,7.5,4.5,15,25,101.0,0.314,0.245,2.39,0.037,23.6,510000.0,0.9,13.1421679654829,2024,8,21,2,2,1,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,8.0,3.0,14,20,114.0,0.269,0.758,1.8,0.081,24.2,8800.0,0.9,9.082620630373812,2024,10,17,2,2,1,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,29,8.5,4.5,22,15,75.0,0.29,1.12,1.48,0.25,20.0,9.9,9.9,2.388762789235098,2023,9,14,0,0,1,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,8.0,3.8,21,15,117.0,0.0,0.77,0.84,0.24,27.0,700.0,9.9,6.55250788703459,2023,7,13,2,2,1,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,7.9,5.0,24,15,117.0,0.038,0.134,0.566,0.038,11.6,16000.0,0.9,9.680406499268877,2024,7,11,2,2,1,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,27,7.1,4.5,22,20,95.0,0.88,1.93,0.55,0.42,20.0,450.0,9.9,6.111467339502679,2023,7,19,2,2,1,1
Sông Cửa Lớn,Sông Cửa Lớn,Năm Căn,28,7.8,3.5,25,20,102.0,0.016,0.27,0.44,0.43,17.9,0.9,0.9,0.6418538861723948,2023,7,12,0,0,1,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,30,8.0,4.0,21,20,117.0,0.032,0.215,0.652,0.029,10.6,37000.0,0.9,10.518700218288163,2024,7,11,2,2,2,1
Sông Cái Ngay,Hàng Vịnh,Năm Căn,26,8.0,5.0,34,25,105.0,0.21,0.204,2.78,0.052,7.97,2000.0,0.9,7.601402334583733,2024,6,20,2,2,1,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,8.1,4.0,27,30,183.0,0.09,0.95,0.13,0.0,25.0,13000.0,9.9,9.472781556562168,2025,7,24,2,2,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,27,7.8,4.0,25,15,120.0,0.112,0.15,0.27,0.14,10.7,0.9,0.9,0.6418538861723948,2022,10,4,0,0,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,30,7.7,3.5,16,20,114.0,0.212,0.548,1.98,0.069,26.2,13000.0,0.9,9.472781556562168,2024,10,17,2,2,1,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,29,7.9,4.0,22,25,132.0,0.188,0.259,1.28,0.041,20.0,440000.0,0.9,12.994532278619134,2024,7,25,2,2,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,8.3,5.0,22,20,114.0,0.015,0.17,1.75,0.025,19.7,8300.0,0.9,9.024131268455037,2024,12,12,2,2,2,1
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,28,7.7,3.5,24,25,112.0,0.218,0.31,0.1,0.07,10.4,140.0,0.9,4.948759890378168,2022,10,18,1,1,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,27,7.8,5.0,18,20,122.0,0.173,0.682,1.63,0.064,32.4,8800.0,0.9,9.082620630373812,2024,10,24,2,2,1,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,28,7.9,3.5,17,20,125.0,0.173,0.627,1.18,0.049,23.6,36000.0,0.9,10.491301994830229,2024,10,24,2,2,1,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,29,7.8,5.0,26,25,135.0,0.346,0.45,0.52,0.19,13.3,76.0,0.9,4.343805421853684,2022,8,2,1,1,1,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,7.6,5.0,27,20,121.0,0.1,0.89,0.38,0.0,18.0,1100.0,9.9,7.00397413672268,2025,7,17,2,2,2,1
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,26,7.4,5.0,25,30,111.0,0.07,0.76,0.1,0.0,15.0,160.0,9.9,5.081404364984463,2025,8,21,1,1,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,8.2,4.5,20,25,124.0,0.05,0.61,1.57,0.07,28.0,960.0,9.9,6.8679744089702925,2023,11,2,2,2,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,28,8.5,5.0,19,20,94.7,0.063,0.342,0.368,0.026,17.6,8000.0,0.9,8.987321812850125,2024,11,29,2,2,2,1
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,27,7.9,4.0,28,30,153.0,0.64,1.5,0.0,0.32,13.0,1600.0,9.9,7.378383712996714,2025,7,8,2,2,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,8.1,3.0,23,20,119.0,0.03,0.75,1.23,0.06,35.0,150.0,9.9,5.017279836814924,2023,11,16,1,1,1,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,28,8.5,4.0,24,25,117.0,0.03,0.43,0.09,0.06,20.0,10.0,9.9,2.3978952727983707,2023,11,30,0,0,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,28,8.0,4.0,20,25,106.0,0.03,0.57,1.12,0.06,20.0,100.0,9.9,4.61512051684126,2023,11,9,1,1,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,7.8,3.0,24,25,118.0,0.256,0.32,0.2,0.1,10.4,140.0,0.9,4.948759890378168,2022,10,18,1,1,1,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,28,8.3,5.0,25,35,139.5,0.03,0.8,0.07,0.06,24.0,520.0,9.9,6.255750041753367,2025,9,25,2,2,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,27,7.6,4.0,25,20,110.0,0.108,0.16,0.24,0.13,12.4,0.9,0.9,0.6418538861723948,2022,10,11,0,0,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,27,8.5,5.0,20,20,128.0,0.154,0.425,0.406,0.053,17.9,9800.0,0.9,9.19023970026918,2024,11,21,2,2,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,29,7.9,4.0,26,25,103.0,0.184,0.15,1.52,0.23,10.6,0.9,0.9,0.6418538861723948,2022,7,19,0,0,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,29,7.4,4.0,15,25,113.0,0.134,0.396,1.43,0.17,26.0,22000.0,0.9,9.99884318585288,2024,8,29,2,2,1,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,27,8.2,4.0,24,30,136.5,0.04,0.82,0.0,0.09,21.0,850.0,9.9,6.746412128573375,2025,9,19,2,2,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,27,7.6,5.0,28,30,157.0,0.07,0.81,0.12,0.0,22.0,140.0,9.9,4.948759890378168,2025,7,10,1,1,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,27,7.9,5.0,28,25,137.0,0.09,1.03,0.11,0.29,17.0,35000.0,9.9,10.463131911491969,2025,7,31,2,2,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,8.4,4.0,25,35,146.0,0.03,0.78,0.1,0.07,27.0,690.0,9.9,6.53813982376767,2025,9,25,2,2,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,27,8.5,4.0,24,25,123.0,0.03,0.43,0.08,0.06,19.0,30.0,9.9,3.4339872044851463,2023,11,30,0,0,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,27,8.2,3.0,22,20,130.0,0.0,0.51,0.67,0.0,22.0,100.0,9.9,4.61512051684126,2023,8,24,1,1,1,1
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,8.0,5.0,28,30,157.0,0.66,1.51,0.0,0.32,25.0,2500.0,9.9,7.824445930877619,2025,7,8,2,2,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,27,7.1,5.0,18,25,117.0,0.22,0.143,0.414,0.143,24.2,13000.0,0.9,9.472781556562168,2024,9,12,2,2,1,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,28,7.8,5.0,15,10,125.0,0.346,0.37,1.47,0.106,24.2,7000.0,0.9,8.853808274977197,2024,10,17,2,2,1,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,29,7.3,5.0,24,20,157.5,0.95,2.03,1.11,0.2,28.0,9.9,9.9,2.388762789235098,2023,6,29,0,0,1,1
Sông Cái Ngay,Hàng Vịnh,Năm Căn,30,8.5,3.5,20,20,121.0,0.137,0.176,0.413,0.055,16.8,12000.0,0.9,9.39274525863144,2024,11,29,2,2,1,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,7.0,3.0,14,20,115.0,0.202,0.227,1.47,0.029,17.5,1600.0,0.9,7.378383712996714,2024,9,26,2,2,1,1
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,8.1,5.0,22,20,116.0,0.08,0.268,0.37,0.083,23.0,29000.0,0.9,10.275085591132717,2024,12,6,2,2,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,27,8.0,5.0,20,25,102.0,0.03,0.57,0.49,0.0,24.0,1600.0,9.9,7.378383712996714,2023,10,12,2,2,2,2
Sông Cửa Lớn ,Sông Cửa Lớn ,Năm Căn,29,8.0,4.5,25,20,118.0,0.024,0.21,0.53,0.14,14.6,0.9,0.9,0.6418538861723948,2023,7,12,0,0,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,29,7.3,3.0,20,20,89.0,0.06,0.71,0.71,0.09,18.0,9.9,9.9,2.388762789235098,2023,7,19,0,0,1,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,6.9,5.0,19,20,107.0,0.177,0.174,0.295,0.074,27.5,6000.0,0.9,8.699681400989514,2024,9,12,2,2,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,26,7.4,5.0,15,20,121.0,0.348,0.409,0.932,0.065,23.3,9100.0,0.9,9.116139576577355,2024,10,10,2,2,1,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,8.0,4.0,29,25,117.0,0.08,0.78,0.15,0.08,31.0,8800.0,120.0,9.082620630373812,2025,7,3,2,2,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,7.8,5.0,27,25,123.0,0.05,0.83,0.18,0.08,27.0,12000.0,9.9,9.39274525863144,2025,7,3,2,2,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,8.0,5.0,27,35,111.0,0.11,0.88,0.09,0.13,14.0,520.0,9.9,6.255750041753367,2025,8,14,2,2,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,29,7.9,4.0,30,25,117.5,0.02,1.2,0.33,0.08,25.0,160.0,9.9,5.081404364984463,2023,6,15,1,1,2,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,27,7.1,4.0,14,25,115.0,0.049,0.608,0.381,0.085,16.9,2000.0,0.9,7.601402334583733,2024,9,5,2,2,1,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,7.6,4.0,24,20,148.0,0.132,0.17,0.3,0.13,12.2,27.0,0.9,3.332204510175204,2022,9,20,0,0,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,27,7.6,5.0,24,30,133.0,0.05,0.95,0.0,0.0,18.0,5000.0,9.9,8.517393171418904,2025,9,25,2,2,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,29,7.7,4.0,24,25,131.0,0.02,0.26,0.38,0.07,12.8,0.9,0.9,0.6418538861723948,2022,10,25,0,0,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,7.7,4.0,21,20,104.0,0.209,0.672,1.36,0.066,24.1,6800.0,0.9,8.824824939175638,2024,10,24,2,2,2,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,8.2,4.0,20,25,109.5,0.1,0.83,0.71,0.0,25.0,120.0,9.9,4.795790545596741,2023,8,3,1,1,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,7.9,3.5,26,15,135.0,0.12,0.45,0.15,0.34,10.6,0.9,0.9,0.6418538861723948,2022,8,9,0,0,1,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,28,7.7,3.5,25,25,101.0,0.25,0.22,0.29,0.15,11.4,0.9,0.9,0.6418538861723948,2022,9,6,0,0,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,28,8.5,3.0,21,25,102.0,0.06,0.65,1.74,0.07,24.0,9.9,9.9,2.388762789235098,2023,11,2,0,0,1,2
Sông Cái Ngay,Sông Cái Ngay,Năm Căn,27,8.0,3.5,25,26,105.0,0.039,0.37,0.21,0.06,6.35,0.9,0.9,0.6418538861723948,2022,7,26,0,0,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,28,7.9,4.0,29,20,120.0,0.04,1.49,3.12,0.91,34.0,130.0,9.9,4.875197323201151,2023,6,15,1,1,1,1
Sông Cái Ngay,Hàng Vịnh,Năm Căn,28,7.4,4.0,24,20,142.5,0.53,0.76,0.4,0.3,16.0,9.9,9.9,2.388762789235098,2023,7,6,0,0,1,2
